Benchmark,Result
A1_uint16_offset1.c,VIOLATION
A2_uint32_offset1.c,VIOLATION
A3_uint64_offset1.c,VIOLATION
B1_struct_padding.c,VIOLATION
B1_struct_padding_uint32.c,VIOLATION
B2_struct_offsetof.c,OK
B2_struct_offsetof_uint32.c,OK
C1_cast_uint16.c,VIOLATION
C1_cast_uint32.c,VIOLATION
C2_cast_alinhado.c,OK
D1_byte_array.c,VIOLATION
E1_symbolic_offset.c,POSSIBLE_VIOLATION
E2_align_offset.c,POSSIBLE_VIOLATION
